Program,xPONENT,,FlexMAP 3D,,,,,,,,,,,,,
Build,4.3.309.1,,,,,,,,,,,,,,,
Date,10/4/24,11:16 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,FM3DD24141021,,,,,,,,,,,,,,,
Batch,DV100424.4RS,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,admin,,,,,,,,,,,,,,,
ComputerName,LUMINEX-C5ZFF24,,,,,,,,,,,,,,,
Country Code,7F,,,,,,,,,,,,,,,
ProtocolName,Durin Anti-Kappa Assay,,,,,,,,,,,,,,,
ProtocolVersion,1.2,,,,,,,,,,,,,,,
ProtocolDescription,2-plex for Kappa. Samples run in duplicate. ,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,Thomas Broge,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
DDGate,7500 to 15000,,,,,,,,,,,,,,,
SampleTimeout,0 sec,,,,,,,,,,,,,,,
BatchStartTime,10/4/24 12:58,,,,,,,,,,,,,,,
BatchStopTime,10/4/24 13:19,,,,,,,,,,,,,,,
BatchDescription,2plex. Start sample 451,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,FlexMAP 3D Map,Type,MagPlex,Count,2,,,,,,,,,,
ProtocolReporterGain,Enhanced PMT (HIGH),,,,,,,,,,,,,,,
ProtocolAnalysis,Type,Quan,Mode,FitOfAllStandards,,,,,,,,,,,,
NormBead,45,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last F3DeCAL1 Calibration,Passed 09/30/2024 08:21:18,,,,,,,,,,,,,,,
Last F3DCAL2 Calibration,Passed 09/30/2024 08:21:51,,,,,,,,,,,,,,,
